Dataset,Method,Performance,Metric
DOGMAseq1-ATAC-ch,scDblFinder,0.772949157,AUROC
DOGMAseq1-ATAC-ch,AMULET,0.737982208,AUROC
DOGMAseq1-ATAC-ch,RADO,0.741793278,AUROC
DOGMAseq-DIG-ATAC-ch,scDblFinder,0.84286696,AUROC
DOGMAseq-DIG-ATAC-ch,AMULET,0.798890044,AUROC
DOGMAseq-DIG-ATAC-ch,RADO,0.809260262,AUROC
DOGMAseq1-ATAC-ch,scDblFinder,0.62022139,AUPRC
DOGMAseq1-ATAC-ch,AMULET,0.598622152,AUPRC
DOGMAseq1-ATAC-ch,RADO,0.636286278,AUPRC
DOGMAseq-DIG-ATAC-ch,scDblFinder,0.654180337,AUPRC
DOGMAseq-DIG-ATAC-ch,AMULET,0.617048969,AUPRC
DOGMAseq-DIG-ATAC-ch,RADO,0.694255363,AUPRC
DOGMAseq1-ATAC-ch,scDblFinder,0.600279082,F1 score
DOGMAseq1-ATAC-ch,AMULET,0.52992728,F1 score
DOGMAseq1-ATAC-ch,RADO,0.631951933,F1 score
DOGMAseq-DIG-ATAC-ch,scDblFinder,0.646884273,F1 score
DOGMAseq-DIG-ATAC-ch,AMULET,0.609038001,F1 score
DOGMAseq-DIG-ATAC-ch,RADO,0.712630015,F1 score
DOGMAseq1-ATAC-ch,ArchR,0.5,AUROC
DOGMAseq1-ATAC-ch,ArchR,0.609570403,AUPRC
DOGMAseq1-ATAC-ch,ArchR,0,F1 score
DOGMAseq-DIG-ATAC-ch,ArchR,0.261319403,AUROC
DOGMAseq-DIG-ATAC-ch,ArchR,0.121459249,AUPRC
DOGMAseq-DIG-ATAC-ch,ArchR,0,F1 score